,0,1,2
0,0,d,"(-5,19.364916731037084)"
1,1,d,"(11.659684327950872,16.249669577334082)"
2,2,d,"(2.2580481183272014,19.872121645544517)"
3,3,d,"(15.642306002101188,12.46267479061494)"
4,4,d,"(3.348442340811662,19.71770610112291)"
5,5,d,"(16.011216024732526,11.985030722086128)"
6,6,d,"(6.140085843178261,19.0341625988222)"
7,7,d,"(16.415614853294134,11.424867132194974)"
8,8,d,"(8.878749157447237,17.92115547053621)"
9,9,d,"(15.901129283054333,12.13070845101769)"
10,10,d,"(12.703983195019305,15.446967695333187)"
11,11,d,"(15.389901911347414,12.77305441776184)"
12,12,d,"(16.19268616522582,11.738693059898294)"
